id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
25002,"Beautiful, Private Spot in Quiet Ballard",102684,Amanda,Ballard,Whittier Heights,47.67941,-122.37054,Entire home/apt,70,2,710,2019-04-01,6.49,1,105
26116,2-bedroom Capitol Hill Pied-à-terre,110248,Jamilah,Capitol Hill,Broadway,47.61743,-122.32676,Entire home/apt,259,2,143,2016-09-24,1.37,1,358
26795,Lake Union Cottage - Shore and Cityview,114228,Kelly,Cascade,Eastlake,47.63953,-122.32838,Entire home/apt,165,3,59,2018-07-18,0.56,1,364
30712,Cozy Ballard Guest Suite,107605,Al,Ballard,Loyal Heights,47.6789,-122.38186,Entire home/apt,64,3,88,2019-04-05,0.82,1,276
37234,Your Home Away From Home.  Private Parking onsite.,160789,Darrell,Ballard,Loyal Heights,47.68805,-122.39231,Entire home/apt,85,3,3,2018-09-30,0.10,2,335
38545,"en-suite, fireplace,chef kitchen. no car needed!",165390,Seth,Other neighborhoods,Wallingford,47.65263,-122.34222,Entire home/apt,225,10,94,2019-01-02,0.92,7,156
41401,Home Away From Home - MIL Suite    ,180441,Pina,Beacon Hill,Mid-Beacon Hill,47.56035,-122.31402,Entire home/apt,95,10,28,2017-05-06,0.27,1,104
43373,Big sunny central house with view!,189356,Michael,Other neighborhoods,Wallingford,47.65055,-122.33059,Private room,55,2,241,2019-04-11,2.28,1,291
47491,Tranquil Rooms at Maple Creek House,215230,Carol,Other neighborhoods,Wedgwood,47.69246,-122.28688,Private room,50,3,45,2019-03-31,0.43,3,66
48848,green suite seattle - dog friendly,212404,Piper + Kent,Other neighborhoods,Windermere,47.67159,-122.25995,Entire home/apt,110,2,39,2018-10-23,0.38,2,193
50233,Highly Desirable 2-bdrm BAMBOO Suite!,230140,Marie,West Seattle,Genesee,47.56643,-122.38084,Entire home/apt,249,1,29,2018-03-12,0.31,2,0
