id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
68508,Unexpected 2-week opening! 180º View Junior PH,340192,Angela,Capitol Hill,Broadway,47.63813,-122.32148,Entire home/apt,139,14,0,,,3,85
77149,Central quiet Capitol Hill condo,412854,Goldie,Capitol Hill,Broadway,47.62585,-122.32004,Entire home/apt,110,5,15,2016-09-24,0.15,1,0
84271,Upper Floor Master Suite in Capitol Hill Home,460561,Elizabeth,Capitol Hill,Stevens,47.62434,-122.3037,Private room,500,2,0,,,1,1
86185,West Seattle: Admiral calm & quiet,192355,Jane,West Seattle,North Admiral,47.58239,-122.39448,Private room,75,2,65,2019-05-29,0.66,1,343
107884,West Seattle/Alki Beach House,331494,Anne,West Seattle,North Admiral,47.58,-122.40204,Entire home/apt,92,2,134,2019-06-08,1.37,1,218
107962,Haller Lake Restored Log Cabin,112093,Roberta & Dan,Northgate,Haller Lake,47.71489,-122.33296,Entire home/apt,120,2,226,2019-05-20,2.33,1,183
108765,Beacon Hill Cottage in the City,541908,Mary,Beacon Hill,Mid-Beacon Hill,47.55257,-122.30435,Entire home/apt,130,2,58,2019-03-19,0.60,1,313
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65437,-122.35745,Entire home/apt,120,30,52,2019-05-11,0.54,1,96
117165,Suite+Office in Gorgeous View Home,559827,Judith,West Seattle,Alki,47.56874,-122.40649,Private room,150,2,130,2019-03-26,1.37,2,0
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65231,-122.35,Entire home/apt,79,3,365,2019-06-10,3.75,2,320
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66923,-122.33517,Entire home/apt,110,2,100,2019-06-04,1.03,1,274
132160,"Green Lake Guest Suite, private apt",558743,Natalie,Other neighborhoods,Green Lake,47.68226,-122.34345,Entire home/apt,150,3,261,2019-05-27,2.73,2,142
134091,Vintage Capitol Hill - 1 Pkg Spot,658155,Joe,Capitol Hill,Broadway,47.62142,-122.31642,Entire home/apt,170,7,164,2019-06-01,1.73,14,148
136480,Bright Cheery Room in Seattle House,539515,Shari,Seward Park,Seward Park,47.55508,-122.26455,Private room,85,2,60,2019-04-15,1.07,2,0
140331,Metrobilly Retreat,683617,Jana,Central Area,Harrison/Denny-Blaine,47.61894,-122.29212,Private room,75,1,143,2019-05-01,1.47,1,297
143580,N. Beacon Hill- Super Private Room,594315,Jana,Beacon Hill,North Beacon Hill,47.58379,-122.31677,Private room,89,2,360,2019-06-05,3.71,1,292
143704,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",696788,Julie,Central Area,Mann,47.61231,-122.29825,Entire home/apt,68,3,357,2019-06-03,3.68,1,303
151545,Seattle 2.5 BR w Amazing Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.65008,-122.31931,Entire home/apt,249,2,20,2019-06-08,0.21,3,216
158345,Restful Room in W. Ballard-NO cleaning fee!,759949,Marcia,Ballard,Sunset Hill,47.66992,-122.40146,Private room,60,2,430,2019-06-06,4.49,1,223
162563,Quiet Clean and safe neighborhood,776719,Desmond,Central Area,Minor,47.61294,-122.31264,Private room,90,2,10,2019-05-18,0.82,1,104
170273,Stroll to Stunning Views from a Historic Home,804996,Nadine,Queen Anne,Lower Queen Anne,47.62767,-122.35861,Entire home/apt,750,2,224,2019-05-26,2.33,1,340
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,West Queen Anne,47.63548,-122.35848,Entire home/apt,85,2,279,2018-10-29,2.90,1,0
186328,"Beautiful Update Craftsman 3BR, 3BA",895223,Andrew,Queen Anne,North Queen Anne,47.64413,-122.3563,Entire home/apt,250,3,1,2013-11-08,0.01,1,0
189156,Sweet Studio -Water & Mountain view,179030,Harriet,West Seattle,Seaview,47.54543,-122.39784,Entire home/apt,78,2,286,2019-06-10,3.02,1,131
190984,Home in Hillman City - large studio & free parking,923095,Denise,Rainier Valley,Columbia City,47.55284,-122.27789,Entire home/apt,80,2,154,2019-03-17,2.49,2,66
