id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
243885,Charming Urban Garden Bungalow,1279637,Melody And Justin,Other neighborhoods,Wallingford,47.67058,-122.32363,Entire home/apt,125,7,4,2018-07-06,0.04,1,39
251922,"Sleepy North Admiral, West Seattle",512084,Edwin,West Seattle,North Admiral,47.58143,-122.39411,Entire home/apt,78,2,219,2019-04-30,2.39,1,307
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67717,-122.36169,Entire home/apt,85,3,151,2019-04-21,1.67,1,86
260613,Modern & New MIL Apt. in N. Ballard,1387754,Monika,Ballard,Whittier Heights,47.68649,-122.36846,Entire home/apt,100,1,45,2018-08-10,0.51,1,299
261912,"Storybook Tudor, house at GreenLake",558743,Natalie,Other neighborhoods,Green Lake,47.68378,-122.34201,Entire home/apt,200,4,31,2019-01-02,0.36,2,37
270370,"NorthBeach, fantastic water view",1309213,Audrey&Benoit,Other neighborhoods,North Beach/Blue Ridge,47.69818,-122.3871,Entire home/apt,195,2,0,,,1,0
271509,Belltown Condo-Close to Pike Place-SALE 6/4-12,74305,Seattle Oasis,Downtown,Belltown,47.61578,-122.34872,Entire home/apt,144,2,69,2019-03-17,0.85,46,124
277416,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,8243075,Lori,Downtown,Belltown,47.61607,-122.34668,Entire home/apt,139,2,111,2019-05-09,1.23,4,276
278830,"Charming Craftsman house in Queen Anne, Seattle",1452570,Emily,Queen Anne,West Queen Anne,47.63292,-122.37247,Entire home/apt,395,2,69,2019-04-22,0.83,3,224
279209,Beautiful Light Filled Cottage in Central Ballard,601384,Eva,Ballard,Loyal Heights,47.68123,-122.37971,Entire home/apt,150,2,2,2016-06-26,0.06,1,0
281208,"Luxury, Location, Great For Family",658155,Joe,Central Area,Atlantic,47.5938,-122.30515,Entire home/apt,229,7,158,2019-04-26,1.79,14,173
281789,11th Avenue Inn Bed and Breakfast,31509,David,Capitol Hill,Broadway,47.61988,-122.31961,Private room,99,1,53,2019-02-20,0.60,6,0
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.61148,-122.32912,Entire home/apt,235,3,169,2019-05-12,1.92,1,274
286080,2 Bed 2 Bath  Downtown Seattle Walk to Pike Place,74305,Seattle Oasis,Downtown,Belltown,47.61523,-122.34703,Entire home/apt,144,2,89,2019-05-14,0.99,46,94
299817,Cap Hill Mountain/Lake View Oasis,1545026,Anna,Capitol Hill,Stevens,47.62388,-122.30133,Entire home/apt,125,7,10,2019-04-26,3.03,1,0
301059,OPEN 5/27-28 ✶ Belltown Condo with Water View,74305,Seattle Oasis,Downtown,Belltown,47.61497,-122.34855,Entire home/apt,94,2,51,2019-04-09,0.58,46,119
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64481,-122.32429,Entire home/apt,150,30,9,2019-03-31,0.10,2,280
311790,Eastlake Union-Fantastic Location,1204187,Kara,Cascade,Eastlake,47.64642,-122.32495,Private room,50,1,4,2019-04-03,0.05,2,0
317248,Historic Seattle Home Designed for Modern Living,658155,Joe,Capitol Hill,Broadway,47.62336,-122.31668,Entire home/apt,240,7,166,2019-05-12,1.97,14,151
318475,Center of the universe Fremont Flat,1634441,Daniel,Other neighborhoods,Fremont,47.65633,-122.34998,Entire home/apt,131,2,131,2019-05-12,1.59,2,53
319768,Family Friendly Modern Seattle Home,1577903,Jen,Central Area,Atlantic,47.59583,-122.29788,Entire home/apt,135,5,5,2013-12-28,0.06,1,0
338091,"spacious, great location w view",1717589,Jen,Capitol Hill,Broadway,47.61897,-122.32421,Entire home/apt,165,1,117,2018-12-27,1.36,3,365
340706,Charming Wallingford Apartment,1015653,David,Other neighborhoods,Wallingford,47.65588,-122.33214,Entire home/apt,90,2,183,2018-11-18,2.09,1,138
340738,Victorian home on Capitol Hill,1729224,Marlow,Capitol Hill,Stevens,47.62344,-122.30659,Entire home/apt,195,30,0,,,3,137
341454,"Cool 2BR Flat w/Private Balcony, City Views",1732181,William,Central Area,Minor,47.61038,-122.31157,Entire home/apt,175,3,53,2019-04-21,1.35,3,288
353039,St. John's Apt. 300 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61367,-122.32203,Entire home/apt,155,30,48,2019-03-19,0.57,8,284
353110,West Seattle Backyard Vacation Cottage,1788284,Eric,West Seattle,North Admiral,47.58003,-122.39025,Entire home/apt,107,4,70,2019-01-03,0.81,1,137
353347,VACATION HOUSE WEST SEATTLE,791459,Kathy,West Seattle,Arbor Heights,47.50509,-122.37824,Entire home/apt,200,5,29,2015-08-27,0.33,1,357
356248,Seattle 2BR Charmer with Portage Bay Views!,306615,Tara,Capitol Hill,Portage Bay,47.65005,-122.3211,Entire home/apt,169,3,23,2018-12-31,0.71,3,93
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61304,-122.32321,Entire home/apt,196,3,107,2019-04-28,1.26,8,281
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68354,-122.33091,Entire home/apt,450,4,29,2018-12-27,0.42,1,318
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Greenwood,47.68348,-122.35705,Private room,85,3,200,2019-04-23,2.31,2,163
380950,4BR/2BA Craftsman Charmer w/ Stunning Sunset Views,287962,Ian,Other neighborhoods,Fremont,47.66623,-122.3607,Entire home/apt,400,1,25,2017-09-04,0.30,1,0
384797,6 room/10 bed/3 bath- Award Winning/ Walk Downtown,50893,Chris,Capitol Hill,Broadway,47.6257,-122.32095,Entire home/apt,499,3,48,2019-04-04,0.56,8,91
387078,Modern on Capitol Hill. LOCATION!,1121532,Kellie,Capitol Hill,Broadway,47.62178,-122.32379,Entire home/apt,119,1,144,2019-05-11,1.85,7,351
387464,Backyard Studio Apartment near UW,1938802,Jason And Susy,Other neighborhoods,Ravenna,47.67675,-122.29397,Entire home/apt,93,2,214,2019-04-28,2.46,1,245
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58513,-122.31526,Private room,72,2,240,2019-05-06,2.80,1,332
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57577,-122.31636,Entire home/apt,112,3,131,2019-04-29,1.55,1,100
394408,Sweet home in the heart of Fremont,1971733,Caroline,Other neighborhoods,Fremont,47.65811,-122.35739,Entire home/apt,150,1,48,2016-12-13,0.56,1,137
408526,Chic 3 bed 4 bath Ballard townhome,2034501,Vivian,Ballard,Adams,47.67553,-122.37632,Entire home/apt,218,14,0,,,2,365
413733,Chill Central District 2BR,2057654,Michele & Ryan,Central Area,Madrona,47.60907,-122.29613,Entire home/apt,269,2,153,2019-05-07,3.25,2,73
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.69922,-122.35072,Private room,71,1,332,2018-08-02,3.97,1,0
430609,"Fresh & hip. 3br/2.5ba deck, bright, walk to all.",165390,Seth,Other neighborhoods,Fremont,47.65925,-122.34831,Entire home/apt,225,21,46,2018-08-26,0.87,7,32
430610,"modern,super roof deck, garage,88 walkscore.",165390,Seth,Other neighborhoods,Wallingford,47.6541,-122.33851,Entire home/apt,259,5,95,2019-01-17,1.15,7,111
433842,Green Lake Place,2088654,Steve,Other neighborhoods,Green Lake,47.68528,-122.34316,Entire home/apt,85,2,19,2019-03-03,1.67,1,0
443942,Stunning downtown flat top floor with internet,64955,Beb,Downtown,Belltown,47.61583,-122.34078,Entire home/apt,125,1,33,2018-05-14,0.50,1,364
445199,The Chandelier Room,2211872,Eliza,Delridge,North Delridge,47.56966,-122.36171,Private room,80,2,96,2017-08-13,1.14,1,0
447523,Bedroom in artistic Northwest home,2222321,Deb,Other neighborhoods,Wedgwood,47.68523,-122.28943,Private room,50,1,181,2019-03-01,2.15,4,313
451012,Spacious house near Ballard ,2234071,Sasan,Other neighborhoods,Broadview,47.71352,-122.35874,Entire home/apt,195,7,2,2013-12-30,0.02,1,149
458186,Fun House 2- Intern Housing- The Tree Room,50893,Chris,Capitol Hill,Broadway,47.62341,-122.31919,Private room,89,30,14,2015-03-13,0.16,8,63
458189,Fun House 2  - Intern Housing- The Modern Room,50893,Chris,Capitol Hill,Broadway,47.62398,-122.32037,Private room,83,30,14,2015-03-08,0.18,8,63
458191,Fun House 2- Intern Housing- Sunshine Room,50893,Chris,Capitol Hill,Broadway,47.62383,-122.3193,Private room,89,30,11,2015-03-13,0.16,8,63
458193,Fun House 2- Intern Housing @ The Lounge- Sleeps 2,50893,Chris,Capitol Hill,Broadway,47.62476,-122.32026,Private room,85,30,6,2014-09-08,0.07,8,63
458197,Fun House 2- Intern Housing- Slumber Party Room,50893,Chris,Capitol Hill,Broadway,47.62492,-122.31973,Private room,50,30,7,2014-09-08,0.08,8,63
461234,Browns House Guest Apt. in Ballard,1870781,Diana,Ballard,Whittier Heights,47.68394,-122.37305,Entire home/apt,99,3,249,2019-04-28,2.95,1,289
461567,MODERN BRIGHT SUITE CLOSE TO BALLARD,2294267,Donna,Other neighborhoods,Crown Hill,47.69736,-122.37622,Private room,75,1,270,2019-05-16,3.26,1,85
463768,delux comfort+ in coolest 'hood / spacious 4 bdrm,1210993,Audrey,Ballard,Sunset Hill,47.66899,-122.4028,Entire home/apt,395,2,24,2017-09-03,0.29,1,0
475361,NE Seattle Artist Treehouse Suite!,2342082,Marilyn,Lake City,Cedar Park,47.71796,-122.29114,Entire home/apt,77,3,115,2019-02-13,1.37,1,113
475496,Cap Hill modern light-filled home,1495392,Lindsey,Capitol Hill,Stevens,47.62785,-122.29871,Entire home/apt,200,20,1,2012-07-26,0.01,2,0
490076,Super cute w/gardens & charm. Great location!,3921530,Ann Petrich,Other neighborhoods,Fremont,47.6543,-122.35259,Entire home/apt,80,2,298,2019-05-05,4.92,3,51
490110,Seattle Pike Place Market Apartment,2403410,Alan,Downtown,Pike-Market,47.61172,-122.34368,Entire home/apt,275,3,44,2018-09-03,0.53,1,0
491958,Columbia City Treehouse Vacation Rental,2431399,Jay,Rainier Valley,Columbia City,47.56051,-122.27895,Entire home/apt,75,2,315,2019-05-15,3.77,1,237
493591,"""THE 5-STAR  HOUSE"" # 5",2438665,Flor,Other neighborhoods,Crown Hill,47.70295,-122.36861,Private room,60,3,160,2019-05-13,1.90,4,293
496074,Spacious Garden Apt Phinney Ridge,2450062,Liza,Other neighborhoods,Phinney Ridge,47.67805,-122.36043,Entire home/apt,95,3,141,2018-09-18,1.71,2,336
506542,"Garden Apartment, Keypad Entry",1414691,Jordan,Other neighborhoods,Wallingford,47.65854,-122.32582,Entire home/apt,95,2,172,2019-04-22,2.04,5,269
513344,artsy bungalow in friendly phinney,2450062,Liza,Other neighborhoods,Phinney Ridge,47.67871,-122.36066,Entire home/apt,120,5,5,2017-08-19,0.06,2,0
522270,House boat on Lake Union Seattle,1037115,Rose And Glen,Cascade,Westlake,47.63642,-122.34124,Entire home/apt,130,3,18,2018-03-15,0.22,6,106
533443,Max's West Seattle Hideaway,2370749,Tom,Delridge,Riverview,47.5366,-122.35605,Private room,45,1,282,2018-02-18,3.36,1,0
544433,"8, Sparkling Seattle Center",2612779,Serina,Queen Anne,Lower Queen Anne,47.62082,-122.35634,Entire home/apt,95,2,412,2019-05-17,4.91,1,148
552325,Seattle 2 BR Condo w/ Amazing Views of Bay,306615,Tara,Capitol Hill,Portage Bay,47.64933,-122.31925,Entire home/apt,249,2,9,2019-03-03,0.13,3,125
555182,Artistic Seattle home..whole house,2222321,Deb,Other neighborhoods,Wedgwood,47.68362,-122.28828,Entire home/apt,275,1,18,2016-08-21,0.27,4,229
557126,Charming Capitol Hill Room,2739131,Chad & Ruben,Capitol Hill,Broadway,47.61968,-122.32415,Private room,98,2,348,2019-05-15,4.24,2,91
